class,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
7,34,0.02,0,0,0,0.1,0.04,0,0.51,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
26,35,0,0,0,0,0.11,0.18,0,0.07,0.01,0,0.08,0.05,0,0.02,0.07,0,0,0,0,0.09,0,0,0,0,0.02,0.04,0.22,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0
26,36,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.05,0.16,0.24,0.21,0.23,0,0,0,0,0,0,0,0,0,0,0
7,37,0,0,0.2,0,0.19,0,0,0.37,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0
28,38,0.04,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0.65,0,0,0,0,0,0,0,0,0,0,0
25,39,0,0,0.43,0,0,0,0,0.04,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0.45,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0
27,40,0,0,0.03,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.21,0.1,0.25,0.23,0,0,0,0,0,0,0,0,0,0,0
4,41,0,0,0.33,0,0.48,0,0,0.02,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0
28,42,0,0,0,0,0.06,0.04,0.02,0,0,0,0.06,0,0,0,0.03,0.04,0,0,0,0,0,0,0,0,0.04,0.29,0.03,0,0.36,0,0,0,0,0,0,0,0,0,0,0
24,43,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0
16,44,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.04,0,0,0.8,0,0.04,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0
25,45,0,0,0.32,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0.45,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
2,46,0,0,0.39,0.01,0.07,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0.08,0.17,0.11,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0
0,47,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,48,0,0,0.24,0,0.18,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0
25,49,0,0,0.21,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.39,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0
25,50,0,0,0,0,0.16,0,0,0.02,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0
2,51,0,0,0.89,0,0.03,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,52,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
25,53,0,0,0.11,0.03,0.25,0.04,0,0.03,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.35,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0
2,54,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,55,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
27,56,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.04,0,0.87,0.02,0,0,0,0,0,0,0,0,0,0,0
2,57,0.07,0,0.32,0,0,0,0,0.2,0.02,0,0,0,0.02,0,0.01,0,0,0.01,0,0,0,0,0,0.01,0,0.04,0,0.27,0.01,0,0,0,0,0,0,0,0,0,0,0
27,58,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0.76,0,0,0,0,0,0,0,0,0,0,0,0
8,59,0,0,0.24,0,0,0,0,0.26,0.35,0,0,0,0.02,0,0,0,0,0,0,0.04,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,60,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,61,0.02,0,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
12,62,0,0,0,0,0.02,0.04,0,0.01,0,0.02,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0.02,0.09,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
0,63,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,64,0,0,0.45,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,65,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0.6,0.21,0,0,0,0,0,0,0,0,0,0,0
25,66,0,0,0.16,0,0,0,0,0.28,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,67,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
2,68,0.02,0,0.62,0,0.03,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.1,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0
24,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,70,0.01,0,0.04,0.03,0.07,0,0,0.01,0,0,0.01,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0.13,0.12,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
3,71,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,72,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.52,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0
5,73,0,0,0,0,0,0.91,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0
2,74,0,0,0.57,0,0,0,0,0.24,0.02,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
19,75,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,76,0,0,0.29,0,0,0,0,0.52,0,0,0,0.06,0,0,0,0,0,0,0,0.04,0,0,0.01,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0
2,77,0,0,0.66,0,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0
2,78,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,79,0,0,0.92,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
25,80,0,0,0,0,0,0.22,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0.33,0.18,0,0.2,0,0,0,0,0,0,0,0,0,0,0
7,81,0,0,0,0,0,0.17,0.09,0.34,0,0,0,0,0.1,0.08,0,0.1,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
7,82,0,0,0.32,0,0.03,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0.19,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
25,83,0.04,0,0.01,0,0.34,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0.04,0.03,0,0,0,0,0,0,0,0,0,0,0
26,84,0,0,0,0,0.04,0.05,0.01,0.17,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.04,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0
24,85,0.02,0,0,0.02,0,0.01,0,0.01,0,0,0.08,0.02,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0.67,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0
11,86,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,87,0.02,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.02,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0
4,88,0,0,0,0,0.49,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0
2,89,0,0,0.47,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,90,0,0,0.45,0.05,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,91,0,0,0.08,0,0.67,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
24,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,93,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.9,0,0,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,94,0,0,0.01,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.06,0.01,0.56,0.01,0,0,0,0,0,0,0,0,0,0,0
25,95,0.02,0,0,0,0.05,0,0,0.06,0,0,0.03,0.05,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.35,0.28,0,0.1,0,0,0,0,0,0,0,0,0,0,0
2,96,0.01,0,0.61,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0.01,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,97,0,0,0.89,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
