class,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
27,33,0,0,0,0,0.02,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.02,0.03,0,0,0.15,0.06,0.35,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0.01,0,0
26,34,0.02,0.05,0,0,0.03,0,0,0,0,0,0,0,0.04,0,0,0.11,0.01,0,0.02,0,0.22,0.02,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,0,0.01,0.17,0,0,0,0,0
20,35,0,0,0,0,0.03,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.04,0,0.37,0.18,0,0,0,0,0.07,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.18,0,0.08,0,0,0,0,0.01
22,36,0,0,0,0.01,0.06,0,0,0,0,0.08,0,0,0,0,0,0.02,0,0,0,0.02,0,0.1,0.34,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.13,0,0,0,0,0
42,37,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0.78,0,0,0.02,0,0.02,0,0
21,38,0,0,0,0.11,0.14,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0.36,0.14,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
21,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.05,0.17,0.52,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0.04,0.01,0.08,0,0,0,0,0
43,40,0,0,0,0.03,0.04,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.09,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0.07,0,0,0,0,0
26,41,0,0,0,0,0,0.05,0,0,0,0,0,0,0.04,0,0.1,0.06,0,0.04,0,0,0.01,0.08,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.01,0.17,0.03,0,0,0,0
44,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0
46,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.09,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.06,0,0,0,0,0.65,0,0.02,0
22,44,0,0,0,0.19,0.08,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,45,0,0,0,0.08,0.27,0.01,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.08,0.02,0.02,0,0,0,0.03,0,0,0,0,0.03,0.05,0,0.06,0,0,0,0,0,0.01,0,0.01,0.06,0.03,0.02,0,0,0,0
47,46,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.91,0,0
3,47,0,0.03,0,0.41,0.23,0,0,0,0,0,0,0,0.11,0,0,0.08,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.04,0.03,0,0,0,0,0
21,48,0,0,0,0.15,0.12,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.01,0,0.35,0.05,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,49,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0.13,0,0.02,0,0,0,0.04,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0.71,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.02,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.01,0,0,0,0,0
4,51,0,0,0,0.43,0.48,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0
12,52,0,0,0.02,0,0.09,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0.04,0.1,0,0.06,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,53,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,54,0,0,0,0.03,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0
