class,id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
5,315,0,0,0,0,0.28,0.71,0,0,0,0
8,316,0,0,0,0,0,0.06,0.02,0.01,0.92,0
5,317,0,0,0,0,0.02,0.66,0.03,0.26,0.03,0
0,318,0.6,0.34,0,0,0,0,0,0,0,0
5,319,0.04,0,0,0,0,0.51,0,0.44,0,0.01
5,320,0,0,0,0.09,0.2,0.49,0,0.02,0.19,0
8,321,0,0.18,0,0.01,0.29,0,0,0,0.51,0
0,322,0.36,0,0,0,0.02,0.07,0.21,0.31,0.01,0
0,323,0.36,0,0,0.02,0.23,0.27,0.02,0.1,0,0
5,324,0,0.02,0,0,0.11,0.57,0,0.04,0.17,0.1
5,325,0,0,0,0,0.33,0.4,0,0.27,0,0
5,326,0,0,0,0,0,0.89,0,0.1,0,0
6,327,0.04,0,0,0,0,0.02,0.91,0,0.02,0
2,328,0,0,1.0,0,0,0,0,0,0,0
0,329,0.44,0.14,0,0,0.12,0,0.02,0.26,0,0
5,330,0.02,0,0,0,0.04,0.46,0.02,0.45,0,0
5,331,0,0,0,0.02,0.04,0.88,0.03,0.01,0,0
6,332,0.13,0,0,0,0.05,0.12,0.66,0.03,0.01,0
8,333,0,0,0,0,0,0,0,0.03,0.97,0
5,334,0.22,0,0,0,0.05,0.49,0.03,0.2,0,0
5,335,0,0,0,0,0,0.97,0,0.02,0,0
5,336,0,0,0,0,0,0.6,0,0.4,0,0
7,337,0.04,0.03,0,0,0.15,0.32,0,0.44,0.02,0
3,338,0,0,0,0.53,0.44,0,0,0,0.04,0
7,339,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03
3,340,0.01,0,0,0.61,0.01,0.19,0,0.13,0.04,0
9,341,0,0,0,0,0,0,0,0,0,1.0
7,342,0.15,0,0,0,0.01,0.03,0,0.54,0.26,0
5,343,0,0,0,0,0,0.71,0,0.29,0,0
5,344,0.01,0.01,0.01,0.01,0.01,0.62,0.27,0.01,0.01,0.01
7,345,0.18,0.02,0,0.03,0.08,0.01,0.05,0.59,0.04,0
8,346,0,0.12,0,0,0,0,0.03,0,0.85,0
5,347,0,0,0,0,0,0.46,0.04,0.38,0.12,0
7,348,0.15,0,0,0,0,0.02,0,0.83,0,0
5,349,0.17,0.01,0,0,0.11,0.58,0.03,0.09,0,0
7,350,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
