been, 1887
ako, 1887
ride, 1883
worry, 1882
pass, 1880
drinking, 1879
american, 1879
case, 1878
sama, 1877
throw, 1875
tan, 1872
art, 1866
sit, 1863
huge, 1863
dont, 1863
attention, 1861
player, 1860
trip, 1856
selfie, 1853
played, 1853
babe, 1844
beach, 1842
nap, 1839
same, 1835
voy, 1833
mejor, 1830
cancer, 1828
me:, 1825
sitting, 1824
quick, 1824
agree, 1821
netflix, 1818
west, 1813
sin, 1812
app, 1812
war, 1810
problems, 1807
youtube, 1805
nos, 1805
enter, 1804
driving, 1804
most, 1802
million, 1801
tickets, 1800
solo, 1796
voice, 1795
ima, 1795
_, 1789
awkward, 1788
bus, 1787
years, 1784
mother, 1783
it?, 1781
gaming, 1779
dreams, 1779
asleep, 1779
kiss, 1775
wine, 1765
his, 1757
dress, 1755
aja, 1755
imagine, 1754
smart, 1750
answer, 1748
totally, 1746
bought, 1746
town, 1738
songs, 1738
in, 1738
finished, 1737
entire, 1736
human, 1735
health, 1732
series, 1730
greatest, 1728
match, 1727
should, 1726
gak, 1724
band, 1723
also, 1722
hahah, 1717
aint, 1717
todos, 1716
killed, 1711
dark, 1711
scared, 1707
meant, 1707
des, 1706
worse, 1704
changed, 1703
following, 1701
to, 1699
gives, 1696
ang, 1694
we'll, 1689
child, 1688
sagittarius, 1686
basically, 1684
lunch, 1682
self, 1681
alright, 1678
happiness, 1676
mal, 1675
breakfast, 1675
lucky, 1673
jealous, 1673
chicken, 1670
control, 1663
john, 1658
telling, 1657
street, 1657
amo, 1657
pour, 1655
jajaja, 1654
deserve, 1654
sky, 1653
sun, 1652
ver, 1651
poor, 1650
soundcloud, 1649
porque, 1648
age, 1647
thoughts, 1646
tarnation, 1645
supposed, 1641
este, 1641
minute, 1640
chocolate, 1640
hoes, 1639
appreciate, 1639
hoe, 1637
finish, 1634
america, 1632
write, 1631
door, 1630
fam, 1628
update, 1626
soy, 1626
nunca, 1625
players, 1616
busy, 1616
shopping, 1615
referencias, 1613
shirt, 1612
bullshit, 1611
quite, 1610
round, 1609
looked, 1606
unfollowed, 1605
lang, 1604
stress, 1603
basketball, 1603
homework, 1602
low, 1600
level, 1598
david, 1595
tour, 1592
needed, 1592
middle, 1592
leaving, 1585
eye, 1584
breaking, 1583
winning, 1580
yay, 1578
laughing, 1578
hard, 1576
teacher, 1572
smoke, 1572
siempre, 1572
due, 1571
girlfriend, 1570
interesting, 1567
grow, 1567
per, 1565
taurus, 1563
longer, 1561
likes, 1558
essay, 1558
stuck, 1556
south, 1555
king, 1555
alive, 1551
lovely, 1546
plans, 1545
very, 1540
public, 1538
piece, 1538
seem, 1533
safe, 1532
hurts, 1532
pics, 1531
loving, 1527
bar, 1526
udah, 1525
speak, 1522
felt, 1520
calling, 1519
news, 1518
london, 1518
gold, 1515
asking, 1515
seconds, 1513
holiday, 1513
clothes, 1509
sexy, 1506
halloween, 1506
hang, 1505
shouldn't, 1504
expect, 1504
dis, 1501
chris, 1498
est, 1489
taken, 1484
step, 1484
jazz, 1484
obama, 1483
winter, 1480
dah, 1480
treat, 1478
killing, 1476
has, 1475
once, 1474
manchester, 1472
bisa, 1471
dogs, 1469
nights, 1468
current, 1468
shower, 1466
truly, 1463
lives, 1463
kau, 1463
kalo, 1462
cream, 1458
office, 1456
study, 1455
cover, 1454
apple, 1453
green, 1452
thinks, 1450
possible, 1448
simple, 1447
jangan, 1443
instagram, 1443
james, 1441
near, 1435
before, 1435
four, 1434
lah, 1433
losing, 1431
message, 1430
dying, 1430
apparently, 1430
eso, 1429
mouth, 1427
paper, 1425
broken, 1425
canberra, 1423
michael, 1422
store, 1420
thursday, 1417
sent, 1414
blessed, 1414
caught, 1411
happening, 1410
works, 1409
fav, 1407
clean, 1407
add, 1406
sea, 1403
fix, 1403
healthy, 1401
