id,class,userId,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
307,NN,Isabellaa_h,0.25,0.01,0.02,0.54,0.16,0,0,0,0,0.02,cluster4
308,N,seandoncito,0.11,0.5,0,0,0,0,0.02,0.36,0,0,cluster0
309,NN,MyBoysMumx2,0.71,0.21,0,0,0,0,0.06,0,0,0,cluster3
310,NN,CaliGamer87,0,0,0,0,0.41,0.59,0,0,0,0,cluster4
311,NN,JessiFreerickss,0.99,0,0,0,0,0,0,0.01,0,0,cluster3
312,NN,gurnardd,0.64,0.23,0,0,0,0,0,0.12,0,0,cluster3
313,NN,nntacya,0.86,0,0.04,0.09,0,0,0,0,0,0,cluster3
314,NN,fxzxe,0.26,0,0,0.69,0,0,0.04,0,0,0,cluster4
315,NN,JohnLouca,0.88,0.02,0,0,0,0,0.03,0.07,0,0,cluster3
316,NN,0313sexy_kento,0,0,0.65,0,0,0,0,0.3,0,0,cluster4
317,NN,_amysantillan,0.79,0.04,0,0,0,0,0,0.16,0,0,cluster3
318,NN,Taehyuns_ARMY,0.56,0.02,0.08,0,0,0,0,0.03,0,0.3,cluster3
319,NN,malayZii,0.06,0,0.27,0.1,0,0.04,0,0,0,0.53,cluster4
320,NN,IvanAllanPoe,0.18,0.32,0,0,0,0,0.25,0.25,0,0,cluster0
321,NN,ScuderiaF1Fan,0.46,0.48,0,0,0,0,0.04,0.02,0,0,cluster0
322,NN,exoternal,0.53,0,0.03,0,0,0,0,0.05,0,0.38,cluster3
323,NN,Itslexx16,0.94,0,0,0,0,0,0,0.04,0.02,0,cluster3
324,NN,SheliceWallace,0.95,0,0,0,0,0,0,0.05,0,0,cluster3
325,NN,tanya_tiller,0.03,0,0,0,0,0,0.95,0,0,0,cluster0
326,NN,stwa29209,0,0,0,0,1,0,0,0,0,0,cluster1
327,N,YBMGMRep,0.06,0.16,0.2,0.06,0,0.05,0.05,0.39,0.02,0,cluster2
328,NN,_tibbyyy,0.77,0.02,0,0,0,0,0.01,0.18,0.01,0,cluster3
329,NN,Alexandra__Rock,0.87,0,0.02,0,0,0.01,0.05,0,0,0.03,cluster0
330,NN,drzevetchin,0.15,0.13,0,0,0,0,0.45,0.01,0.24,0.01,cluster0
331,NN,FaraahMA,0.08,0,0,0.89,0,0,0,0.03,0,0,cluster4
332,NN,jerome559,0.67,0.15,0,0,0,0,0.04,0.12,0.01,0,cluster3
333,NN,ashtonthegoat,0.97,0,0,0,0,0,0,0.02,0,0,cluster3
334,NN,VSaenz_17,0.87,0,0,0,0,0,0,0.13,0,0,cluster3
335,NN,cokegold,0.59,0.02,0.04,0,0,0.02,0,0.3,0.02,0,cluster2
336,NN,kenilworthBar,0.02,0.89,0,0.02,0,0,0,0,0.03,0.02,cluster0
337,N,hdygdt2,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,cluster2
338,NN,_NDubayan,0.14,0.81,0,0,0,0,0,0.04,0,0,cluster0
339,NN,Federicoperez_8,0,0,0,0,1,0,0,0,0,0,cluster1
340,N,TEZY_T,0.32,0.14,0,0.18,0,0,0,0.36,0,0,cluster3
341,NN,kaylagovernor,0.89,0,0,0,0,0,0,0.11,0,0,cluster3
342,NN,spe77pp,0.65,0.01,0.01,0.01,0.01,0.01,0.24,0.01,0.01,0.01,cluster4
343,N,rxmez,0.12,0.18,0,0.01,0,0.02,0.05,0.59,0.02,0,cluster2
344,NN,alimaraty,0,0,0.1,0.73,0,0.12,0.05,0,0,0,cluster4
345,NN,abydarmz,0.67,0,0,0.03,0,0,0.06,0.24,0,0,cluster3
346,N,kentavius_3,0.23,0.14,0,0,0,0,0,0.63,0,0,cluster2
347,NN,Tranae_xo,0.66,0.19,0.01,0,0,0,0.03,0.06,0.01,0.02,cluster3
348,N,jyuken_eitango,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,cluster2
349,N,TheCurtisBlow,0.04,0.16,0,0,0,0,0,0.8,0,0,cluster2
350,NN,Maracunt,0.64,0.01,0.04,0.02,0,0.15,0.1,0.04,0,0,cluster4
351,NN,Olivia_Howship,0.8,0.18,0,0,0,0,0,0,0,0,cluster3
352,NN,dutchmaster_lex,0.14,0.54,0,0.02,0,0,0.03,0.25,0.01,0,cluster0
353,NN,SilberWorldNews,0,0,0.02,0,0,0,0.97,0,0,0,cluster0
354,NN,jxilimuy,0.37,0.03,0,0.04,0,0,0,0,0.01,0.54,cluster4
355,N,arialldat,0.31,0.04,0,0,0,0,0.04,0.61,0,0,cluster2
356,NN,xxCuteHdsz,0.85,0,0,0,0,0,0.02,0.12,0,0,cluster3
357,NN,michaelbarbz22,0.23,0.68,0,0,0,0,0.02,0.06,0,0,cluster0
358,NN,painofmalice,0.98,0,0,0,0,0,0,0.01,0,0,cluster3
359,NN,gabyacanales,0.41,0,0,0,0.57,0,0,0,0,0.02,cluster1
360,NN,sandi_cheekss,0.89,0,0,0,0,0,0,0.11,0,0,cluster3
361,NN,_caragordon,0.7,0.2,0.01,0,0,0,0.05,0,0.04,0,cluster3
362,NN,MeganCauserx,0.97,0,0.01,0,0,0,0,0.01,0,0,cluster3
363,N,bekkysabasaba,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,cluster2
364,NN,__HAYOON,0.65,0,0.3,0,0,0,0,0,0,0,cluster4
365,NN,jesusflorescon,0,0.1,0,0,0.88,0,0,0,0,0,cluster1
366,NN,Mike_T_Lopez,0.56,0.04,0,0,0,0,0.17,0.08,0.14,0,cluster0
367,NN,karencopeland94,0.82,0.15,0,0,0,0,0,0,0.01,0,cluster3
368,NN,26102stwa,0,0,0,0,1,0,0,0,0,0,cluster1
369,NN,roberta25s,0,0.29,0.11,0,0,0,0.41,0,0.18,0,cluster0
370,N,_NXMO,0.29,0.21,0,0,0,0,0.03,0.45,0.02,0,cluster2
371,NN,aSouthIndian,0.38,0.13,0.02,0.12,0,0,0.14,0,0.03,0.17,cluster4
372,NN,rhiannetw_,0.82,0,0,0,0,0,0.07,0,0.06,0.05,cluster0
373,NN,valicolea,0,0,0,0.02,0.05,0,0.78,0,0.04,0.11,cluster4
374,N,Pigsblow1,0.36,0.26,0,0,0,0.03,0,0.35,0,0,cluster2
375,NN,n_Clouds,0,0.15,0,0,0,0.03,0.46,0,0.36,0,cluster0
376,NN,Scott_McLellan1,0.45,0.33,0.17,0,0,0,0.02,0,0.02,0,cluster3
377,NN,BarackObama_top,0,0.02,0,0,0,0,0.36,0,0.61,0,cluster4
378,NN,cavechic,0.5,0.39,0,0,0,0,0.03,0,0.01,0.06,cluster3
379,NN,GEArchitects,0,0.96,0,0,0,0.01,0,0,0.03,0,cluster0
380,NN,MasonMagruder,0.71,0.09,0,0,0,0,0.12,0.01,0.07,0,cluster0
381,NN,tryanto_s,0.32,0,0,0.67,0,0,0,0,0,0,cluster4
382,NN,balldontlie9,0,0.33,0,0,0.64,0,0,0,0,0,cluster1
383,NN,MrNoahItALL,0.17,0.15,0,0,0,0,0.58,0,0.09,0,cluster0
384,NN,dianaxtrejo,0.72,0,0,0,0,0,0,0.28,0,0,cluster3
385,NN,FikriFiq1,0.61,0,0,0.38,0,0,0,0,0,0,cluster4
386,NN,MisterKwakuJ,0.07,0.71,0,0,0,0,0.05,0.16,0,0,cluster0
387,N,ITAINTCAD,0.02,0.52,0,0,0,0,0.09,0.36,0,0,cluster0
388,NN,gocyjepaw,0,0,0,0,0,0,0,0,1,0,cluster4
389,NN,SianEBones,0.49,0.42,0,0,0,0,0.04,0,0.05,0,cluster0
390,NN,MotorPartsDir,0,0.71,0,0.14,0,0,0.12,0,0.02,0.01,cluster4
391,NN,19stavros81,0.12,0.43,0,0.09,0,0,0.34,0,0.02,0,cluster0
392,NN,hx_chen99,0.94,0,0.01,0.03,0,0,0,0,0,0.01,cluster3
393,N,hafsahailey1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,cluster2
394,NN,jeppersannn,0.82,0,0,0,0,0,0.04,0.07,0.06,0,cluster0
395,N,natsuyuri019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.85,0.02,0.02,cluster2
396,N,lilginger_360,0.46,0,0,0,0,0,0,0.53,0,0,cluster3
397,NN,cl4ppyG,0.03,0.01,0.92,0,0,0.01,0,0.02,0,0,cluster4
398,NN,bangtan1306_,0.18,0.05,0.14,0.36,0.01,0.02,0,0,0,0.24,cluster4
399,NN,Idksok,0.88,0.03,0.05,0,0,0,0.01,0.01,0,0.01,cluster3
400,NN,Aakarsh_sree,0.12,0.02,0.04,0.11,0,0,0.45,0,0.26,0,cluster4
401,NN,chrisophren,0.08,0.22,0,0.1,0,0.33,0.2,0.03,0,0.02,cluster4
402,NN,kev_jago,0.48,0.48,0,0,0,0,0,0.05,0,0,cluster0
403,NN,joantanzuen,0.94,0.01,0,0,0,0,0,0.01,0.02,0,cluster3
404,N,isara36,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,cluster2
405,NN,Melizmelon,0.86,0,0,0,0,0,0.08,0.06,0,0,cluster3
406,NN,portonathalia,0.27,0.05,0.2,0,0.41,0,0,0,0.03,0.03,cluster1
407,NN,jessica_wilcock,0.96,0.02,0,0,0,0,0,0,0.02,0,cluster3
408,NN,todd_diesel95,0.35,0.46,0,0,0,0,0,0.19,0,0,cluster0
409,NN,94Fifty,0,0.93,0,0,0,0,0.03,0,0.03,0,cluster0
410,N,_loveeaij,0.5,0,0,0,0,0,0.09,0.36,0.04,0,cluster2
411,NN,BlogdaTM,0,0,0,0,0.93,0.01,0.04,0,0,0.02,cluster1
412,NN,erinurban,0.91,0.02,0,0,0,0,0,0.06,0,0,cluster3
413,NN,GeorgeArmitage1,0.58,0.35,0.02,0,0,0,0.03,0,0,0,cluster3
414,NN,HoiElvis,0.05,0,0,0.78,0,0,0,0.18,0,0,cluster4
415,NN,Sir_Rubialex,0.07,0.46,0,0.16,0.22,0,0.04,0.04,0,0.01,cluster1
416,NN,gavinparle,0.81,0.09,0.02,0,0,0,0.05,0,0.03,0,cluster3
417,NN,insha325_SM,0.4,0.2,0.02,0.02,0,0,0.02,0,0,0.34,cluster3
418,NN,chloeebennett22,0.95,0.04,0,0,0,0,0,0,0,0,cluster3
419,NN,aldisha_tamara,0.75,0,0,0.24,0,0,0,0.01,0,0,cluster3
420,NN,nicoleplayer16,0.78,0,0,0,0,0,0,0.22,0,0,cluster3
421,NN,JennSTEM,0.18,0.38,0,0.03,0,0,0.05,0,0.35,0,cluster0
422,NN,duanyien96,0.22,0.2,0.03,0,0,0,0,0,0,0.54,cluster4
423,N,LongLiveAnt,0.33,0.05,0,0.02,0.02,0,0,0.58,0,0,cluster2
424,NN,Barmenhr,0,0.24,0.59,0.12,0.01,0,0.01,0,0,0.02,cluster4
425,NN,wolfinhd,0.3,0.47,0,0,0,0,0.02,0.21,0,0,cluster0
426,NN,tim_zorich,0.18,0.8,0,0,0,0,0,0,0,0,cluster0
427,NN,semnome1223,0.21,0,0,0,0.61,0,0,0.13,0,0.05,cluster1
428,NN,connmack30,0.68,0.25,0,0,0,0,0.01,0.05,0.01,0,cluster3
429,NN,Nuubbiiaaa,0.96,0,0,0,0,0,0,0.03,0,0,cluster3
430,NN,MLB_Scores_,0,0.78,0,0,0,0,0.21,0,0,0,cluster0
431,N,obeyastrid,0.62,0,0,0,0,0,0,0.37,0,0,cluster3
432,NN,SebaCisternaas,0.52,0,0.04,0.02,0.25,0,0.04,0.13,0,0,cluster1
433,NN,MujeresPlay,0,0,0.15,0,0.76,0.06,0.03,0,0,0,cluster1
434,NN,raulmerom,0,0.59,0.11,0,0.2,0,0.04,0,0,0.06,cluster1
435,N,princee_josiah,0,0.5,0,0,0,0,0,0.49,0,0,cluster2
436,NN,clpauwels,0.31,0.24,0,0,0,0,0.1,0,0.34,0,cluster0
437,NN,Haruto_osomathu,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,cluster2
438,NN,javi_alanis,0,0.05,0.03,0,0.62,0.01,0.18,0,0.09,0.01,cluster1
439,NN,crueinvest,0.09,0.05,0.11,0,0,0,0.21,0,0.52,0,cluster4
440,NN,Drhm1234,0,0,0.24,0.76,0,0,0,0,0,0,cluster4
441,NN,Mali,0,0,0,0,0,0,0.88,0,0.12,0,cluster0
442,NN,Prmhavika6gmail,0,0,0.06,0.11,0,0,0.68,0,0,0.14,cluster4
443,NN,zeddikins,0.35,0.23,0.08,0,0,0.03,0.23,0.06,0,0,cluster0
444,NN,barbieriqkdwane,0,0,0,0,0,0,0,0,0,1,cluster4
445,NN,SantinoPanone,0.43,0.35,0,0.07,0,0,0.03,0.09,0.04,0,cluster0
446,NN,Bankruptcy2mBoo,0.21,0.32,0.02,0,0,0,0.33,0,0.08,0.01,cluster0
447,NN,nomaslosers,0,0.05,0,0.57,0.24,0.14,0,0,0,0,cluster4
448,NN,TeaHoover,0.57,0.23,0,0,0,0.01,0.11,0,0.06,0,cluster0
449,NN,emely_danielle_,0.93,0.06,0,0,0,0,0,0,0,0,cluster3
450,NN,xSaabss_,0.82,0,0.02,0.1,0,0,0,0.05,0,0,cluster3
451,NN,namastx,0.51,0.05,0.02,0,0.09,0.02,0,0.02,0,0.29,cluster4
452,N,pem_cocoa,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,cluster2
453,N,Ayo_Antwan41,0.19,0.14,0,0,0,0,0,0.68,0,0,cluster2
454,NN,tppomi,0.8,0.02,0,0,0,0,0.02,0.14,0,0,cluster3
455,NN,omggaby,0.82,0.15,0.01,0,0,0,0,0,0,0,cluster3
456,NN,emmett_fox,0.44,0.52,0,0,0,0,0,0.03,0,0,cluster0
457,NN,Akashtv1,0.08,0.04,0,0,0,0,0.83,0,0.02,0.02,cluster0
458,NN,Jackelyn_xx,0.71,0.21,0.05,0,0,0,0,0,0,0.02,cluster3
459,NN,itsbieberrs,0.29,0,0.4,0.04,0.18,0,0,0.03,0,0.05,cluster4
460,NN,roberts_jillian,0.89,0,0,0,0,0,0.02,0.07,0,0,cluster3
461,NN,1DLittleSecret,0.37,0.19,0.4,0,0,0,0,0,0,0.03,cluster4
462,NN,lentoicortel,0.69,0.16,0.01,0,0,0,0.03,0.01,0,0.1,cluster3
463,N,tonisheyasb,0.53,0.02,0,0,0,0,0,0.45,0,0,cluster3
464,N,Smoove_Religion,0.15,0,0,0,0,0,0,0.85,0,0,cluster2
465,NN,Yesenialuvz,0.96,0,0,0,0,0,0,0.04,0,0,cluster3
466,NN,YEHI209,0.7,0.16,0,0,0,0,0,0.14,0,0,cluster3
467,N,yoooitsJordan,0.38,0.22,0,0,0,0,0,0.4,0,0,cluster3
468,NN,ItTraynor,0.76,0,0.06,0,0,0.06,0,0,0,0.12,cluster4
469,NN,Mphoputini,0.45,0.42,0,0,0,0,0.07,0,0.02,0.03,cluster0
470,NN,rachelbleh,0.7,0,0.08,0.02,0,0,0,0.1,0,0.08,cluster3
471,NN,lovettejam,0.07,0.13,0,0.02,0,0.01,0.4,0.02,0.33,0.02,cluster0
472,NN,caesquivel04,0.42,0.28,0.02,0,0,0,0.21,0,0.05,0.01,cluster0
473,NN,butterflyburgos,0.78,0,0.02,0,0,0,0,0.12,0,0.07,cluster3
474,NN,valeyos,0.46,0.08,0.11,0,0.27,0.08,0,0,0,0,cluster4
475,NN,claaassic_alex,0.62,0.29,0.04,0,0,0,0,0.02,0,0.01,cluster3
476,NN,The1stREDWAL,0.07,0,0,0,0,0.92,0,0,0,0,cluster4
477,NN,Fabio_Natali,0,0.16,0.02,0,0,0.02,0.74,0,0.03,0.03,cluster0
478,NN,emogrl420,0.67,0,0,0,0,0,0.04,0.26,0.01,0,cluster3
479,N,yaboy_kell,0.25,0.19,0,0,0,0,0.01,0.55,0,0,cluster2
480,NN,sianroberts670,0.42,0.37,0.12,0.01,0,0,0,0,0,0.07,cluster3
481,NN,joverman16,0.62,0.31,0,0,0,0,0.05,0,0.01,0,cluster3
482,N,RosewoodBAPE,0,0.07,0.03,0,0,0,0,0.88,0,0,cluster2
483,NN,iDanColeman,0.39,0.16,0,0,0,0.05,0.07,0,0.32,0,cluster4
484,NN,pipitnyots,0,0,0,0.89,0,0.03,0,0,0,0.08,cluster4
485,N,NickMendieta,0.45,0.21,0,0,0,0,0,0.34,0,0,cluster3
486,NN,Big_mag1,0.69,0.22,0,0,0,0,0.06,0,0.02,0,cluster3
487,N,KhuloodAlNaqbi1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,cluster2
488,NN,akaasartule,0.29,0.22,0,0,0,0,0.38,0.04,0.06,0,cluster0
489,NN,tswiftandbands,0.75,0.11,0.09,0,0,0,0,0,0,0.03,cluster3
490,NN,LOVATOPDOWN,0.24,0.08,0.13,0.01,0.1,0,0,0.02,0,0.41,cluster4
491,NN,dwellenstein,0.03,0.03,0,0,0,0.94,0,0,0,0,cluster4
492,NN,adila145,0.42,0,0.02,0.54,0,0,0,0,0,0.02,cluster4
493,NN,mitchmalady,0.65,0.19,0.03,0,0,0,0.12,0,0,0,cluster0
494,NN,arrobalipee_,0,0,0,0,0.97,0,0.03,0,0,0,cluster1
495,N,ruthlessyesenia,0.63,0,0,0,0,0,0,0.36,0,0,cluster3
496,NN,FadyOnsy2,0.16,0.12,0,0.64,0.08,0,0,0,0,0,cluster4
497,NN,graceharpeer,0.88,0.09,0,0,0,0,0,0.02,0,0,cluster3
498,NN,elliemcwilliams,0.84,0.13,0.02,0,0,0,0,0,0,0,cluster3
499,N,Physique_Pride,0.58,0,0,0,0,0,0.03,0.4,0,0,cluster3
500,NN,geraldin_cf,0.33,0.43,0.08,0,0.03,0.01,0,0,0,0.1,cluster1
501,NN,itzel_mtz11,0.8,0,0,0,0,0,0,0.19,0,0,cluster3
502,NN,BRUNOCANQUERINI,0,0.05,0,0,0.95,0,0,0,0,0,cluster1
503,N,camdollarsign,0.02,0.18,0,0.01,0,0,0,0.79,0,0,cluster2
504,NN,hsrryestyIes,0.15,0,0.33,0,0.32,0,0,0.19,0,0,cluster4
505,N,essam71312,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,cluster2
506,NN,KJenks11,0.25,0.69,0,0,0,0,0,0.06,0,0,cluster0
507,NN,aayush2101,0.45,0,0.05,0.02,0,0,0.38,0,0,0.11,cluster0
508,N,Mamdouhmone,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,cluster2
509,NN,erin_jamieson,0.93,0,0,0,0,0,0,0.07,0,0,cluster3
510,NN,behro00oz,0,0.35,0,0,0.01,0.05,0.59,0,0,0,cluster4
511,N,bureyy,0.05,0.6,0,0,0,0,0,0.35,0,0,cluster0
512,NN,brookins13,0.96,0,0,0,0,0,0,0.04,0,0,cluster3
513,NN,red_fen,0.16,0.11,0,0,0,0,0.64,0,0.09,0,cluster0
514,NN,xianlims,0,0,0,0,0,0,0,0.01,0,0.99,cluster4
515,NN,emeraldsequator,0.42,0,0,0.55,0,0,0.02,0,0,0.01,cluster4
516,NN,TheJoshlax,0.38,0.53,0,0,0,0.02,0.04,0.01,0.01,0,cluster0
517,NN,extra_royalty,0.14,0.55,0.01,0,0,0.02,0.16,0.01,0.08,0.03,cluster0
518,NN,imaROCKstar1200,0.56,0.43,0,0,0,0,0,0,0,0,cluster0
519,NN,Fiona_Bruce,0.24,0.64,0,0,0,0,0.08,0,0.01,0.01,cluster0
520,NN,ShafaNujoma,0.42,0.43,0,0,0,0,0.12,0,0.02,0,cluster0
521,NN,FemiMykael,0.23,0.66,0,0,0,0,0.01,0.1,0,0,cluster0
522,NN,charleybear7,0.61,0.37,0,0,0,0,0,0,0.02,0,cluster3
523,NN,Str8ballNtwoOne,0.18,0.71,0,0.04,0,0,0,0.06,0,0,cluster0
524,NN,BethanyRaferty,0.92,0.07,0,0,0,0,0,0.01,0,0,cluster3
525,NN,conqasport,0,0.76,0,0,0,0,0.01,0,0.23,0,cluster0
526,NN,SharanAdlem,0.52,0.43,0,0,0,0,0,0,0,0.05,cluster0
527,N,nmbleke,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,cluster2
528,N,MalindaSmink,0,0,0,0,0,0,0,1,0,0,cluster2
529,NN,NellyOranje,0,0.4,0.43,0,0.07,0,0.09,0.01,0,0,cluster4
530,NN,abieeamoez,0,0,0,0.99,0,0,0,0,0,0,cluster4
531,NN,yineiriet,0.89,0,0,0,0,0,0,0.09,0,0.01,cluster3
532,N,Rep_World_Peace,0.21,0.01,0,0,0,0,0,0.77,0,0,cluster2
533,NN,aaronpc59,0.01,0.05,0,0,0.91,0,0,0,0,0.02,cluster1
534,NN,kavitac18,0.25,0,0,0,0,0.57,0,0,0.03,0.14,cluster4
535,N,xotiaa_,0.43,0.03,0,0,0,0,0,0.53,0,0,cluster2
536,NN,AustinTodd11,0,0,0,0,0,0,1,0,0,0,cluster0
537,NN,white_blondie22,0.99,0,0,0,0,0,0,0.01,0,0,cluster3
538,NN,FRANCISNDOLO3,0.18,0.1,0,0,0,0,0.55,0,0.13,0.02,cluster0
539,N,keeeen91019,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,cluster2
540,NN,cdamodel,0.38,0.37,0.07,0,0,0,0.06,0.1,0,0,cluster0
541,NN,telehitamame,0.14,0.07,0.5,0,0.14,0.01,0,0.05,0,0.07,cluster4
542,NN,believier,0.41,0.06,0.27,0,0.14,0,0,0.06,0,0.07,cluster4
543,NN,LuthfiPut15,0.08,0.11,0.04,0.68,0,0,0,0,0,0.08,cluster4
544,NN,ronypoop,0.55,0.06,0,0,0,0,0.07,0.03,0.02,0.26,cluster3
545,NN,ethanshumski4L,0.43,0.42,0,0,0,0,0.01,0.13,0,0,cluster0
546,NN,SalomeeHewitt,0.64,0,0,0,0,0,0.33,0,0.01,0,cluster0
547,NN,FraserMair,0.61,0.29,0.01,0,0,0,0.07,0,0.01,0,cluster3
548,NN,fatimaxox1,0.87,0.02,0.05,0.01,0,0.03,0,0,0,0,cluster2
549,N,iWonHunnit,0.15,0,0,0,0,0,0,0.85,0,0,cluster2
550,NN,cherrybombs_xo,0.83,0.16,0,0,0,0,0,0,0,0,cluster3
551,NN,Destinyuhva,0.31,0.15,0,0,0,0,0.38,0.02,0.14,0,cluster0
552,NN,ahmadniyzar_,0.04,0.3,0,0.64,0,0,0,0,0,0,cluster4
553,NN,MarcusLofstrom,0.14,0.36,0.06,0.04,0,0,0.34,0,0.03,0.02,cluster0
554,NN,spilacious001,0.14,0.17,0.07,0.15,0,0.03,0.16,0.26,0,0.01,cluster2
555,NN,damnrainydays,0.61,0.1,0,0,0,0,0.06,0.21,0.02,0,cluster3
556,N,BuyMore_Condoms,0.28,0.06,0,0,0,0,0.03,0.63,0,0,cluster2
557,NN,bricalver,0.35,0.36,0.01,0,0,0.01,0.16,0.05,0.05,0.01,cluster0
558,NN,sanjayator,0,0.1,0.03,0.23,0,0,0.62,0,0,0,cluster4
559,NN,sooso61,0.3,0,0,0.64,0,0.04,0,0,0,0,cluster4
560,NN,lycaonthropes,0.81,0.07,0.04,0,0,0,0.05,0,0.02,0,cluster3
561,N,laatee_,0.17,0,0,0,0,0,0,0.82,0,0,cluster2
562,NN,DominickAzores1,0.09,0.72,0,0,0,0,0.01,0.18,0,0,cluster0
563,NN,MsKristii,0.55,0.09,0.03,0,0,0,0.04,0,0.05,0.22,cluster3
564,NN,itsAnu_,0.78,0.01,0,0,0,0,0,0.19,0,0,cluster3
565,NN,martmannion,0.01,0.85,0,0,0,0,0.02,0.11,0,0,cluster0
566,NN,joedealsallday,0,0,0,0,0,0,0.99,0.01,0,0,cluster0
567,NN,Silent_J_,0.31,0.43,0,0,0,0,0.05,0.18,0.02,0,cluster0
568,N,queeen_kyaannna,0.38,0,0,0,0,0,0,0.62,0,0,cluster2
569,N,____choppa,0.4,0.03,0,0.02,0,0,0,0.54,0,0,cluster2
570,N,Pass_Da_Canobis,0.43,0.01,0,0,0,0,0,0.55,0,0,cluster2
571,N,Peepee_2015,0.46,0,0,0,0,0,0,0.54,0,0,cluster3
572,NN,gunyfuxenex,0.17,0.02,0,0,0,0,0.76,0,0.03,0,cluster0
573,NN,CupidStunt_,0.71,0.24,0,0,0,0,0,0.04,0,0,cluster3
574,NN,HelgeLeduc,1,0,0,0,0,0,0,0,0,0,cluster3
575,NN,UppercutSlut,0.5,0.21,0,0,0,0,0.07,0.19,0.03,0,cluster0
576,N,so65__,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,cluster2
577,NN,br_britni,0.98,0,0,0,0,0,0,0.02,0,0,cluster3
578,NN,TechNewsTrend,0.07,0.06,0.04,0,0,0,0.71,0,0.09,0,cluster0
579,NN,dstinodmocracia,0,0,0,0,0.99,0,0,0,0,0,cluster1
580,NN,RoxanneShirazi,0.2,0.14,0,0,0,0,0.19,0,0.47,0,cluster4
581,NN,abulfarafisyah,0,0.04,0,0.79,0.02,0,0.03,0,0.05,0.07,cluster4
582,NN,buritclosed,0,0,0.03,0.83,0.03,0.02,0.01,0,0,0.08,cluster4
583,NN,tvs7340,0.51,0.16,0.02,0,0,0.03,0.02,0.18,0,0.09,cluster2
584,NN,ScienciaGeograp,0,0,0,0,0,0,0,0,1,0,cluster4
585,NN,mayraylikesmen,0.51,0.46,0.01,0,0,0,0,0,0,0,cluster0
586,NN,Sentia_UK,0.08,0.15,0.03,0.02,0,0.08,0.4,0,0.13,0.1,cluster4
587,N,Emanwhale,0.43,0,0,0,0,0,0,0.57,0,0,cluster2
588,NN,liiisss_,0.58,0.04,0.09,0,0,0.02,0,0.28,0,0,cluster2
589,NN,siunal,0.11,0,0,0.17,0,0,0.62,0,0.07,0.01,cluster4
590,N,54ipfhfp,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,cluster2
591,NN,4everwine,0,0,0,0.07,0.93,0,0,0,0,0,cluster1
592,NN,charsbusiness_,1,0,0,0,0,0,0,0,0,0,cluster3
593,NN,bowma02,0.82,0.16,0,0,0,0,0,0,0,0,cluster3
594,NN,thisbowman,0.1,0.23,0.2,0,0.36,0,0,0,0,0.11,cluster1
595,NN,ReganWoodard,0.6,0.34,0,0,0,0,0,0.04,0,0,cluster3
596,NN,Guimasax,0,0,0.3,0,0.67,0.02,0,0,0,0,cluster1
597,NN,Ashi1Li,0.36,0.35,0.02,0,0,0.01,0.15,0.05,0.04,0.01,cluster0
598,NN,mogulssitontop,0.34,0.39,0.11,0,0,0.02,0.02,0.09,0,0.01,cluster0
599,NN,CayleeCake_,0.89,0.03,0,0,0,0,0,0.07,0,0,cluster3
600,NN,basedelena,0.71,0.01,0,0,0,0,0.02,0.25,0,0,cluster3
601,NN,red_55_,0.82,0,0,0,0,0,0,0.18,0,0,cluster3
602,NN,christiexsh,0.67,0.02,0.04,0,0,0,0.05,0.21,0,0,cluster3
603,N,pcQnm2yC38KXUTk,0.13,0,0,0,0,0,0,0.84,0,0,cluster2
604,NN,awfullylost,0.76,0,0,0,0,0,0,0.22,0,0,cluster3
605,NN,Sanchezdalbert,0.28,0.06,0.03,0.02,0.11,0,0.37,0.03,0.09,0,cluster4
606,NN,brhnita,0.05,0,0.04,0.88,0.02,0,0,0,0,0,cluster4
607,NN,yenkasi,0.14,0.52,0,0,0,0,0.24,0,0,0.09,cluster0
608,NN,Tetteh_Obuobi,0.38,0.39,0,0.03,0,0,0.09,0.09,0.02,0,cluster0
609,NN,marteeenez,0.82,0.07,0.01,0,0,0,0.01,0.07,0,0,cluster3
610,NN,jesensjovan,0.05,0.39,0.21,0.09,0.05,0.03,0.04,0,0.12,0,cluster4
